team_id,season,net_rating,ts_pct,pie,top1_oreb_pct,top1_pie,top1_usg_pct,top1_net_rating
1610612742,2024-25,-1.3,0.583,0.496,0.083,0.179,0.301,0.5
1610612743,2024-25,3.8,0.604,0.529,0.083,0.206,0.285,10.5
1610612765,2024-25,2.1,0.58,0.509,0.023,0.152,0.323,2.8
1610612744,2024-25,3.2,0.568,0.515,0.07,0.145,0.203,6.3
1610612745,2024-25,4.6,0.553,0.515,0.099,0.153,0.259,7.6
1610612754,2024-25,2.1,0.594,0.521,0.151,0.16,0.182,19.0
1610612746,2024-25,4.9,0.589,0.521,0.0,0.4,0.286,85.7
1610612747,2024-25,1.2,0.593,0.511,0.023,0.17,0.328,9.1
1610612763,2024-25,4.7,0.588,0.524,0.021,0.141,0.312,6.8
1610612748,2024-25,0.4,0.576,0.505,0.013,0.139,0.271,1.3
1610612749,2024-25,2.4,0.598,0.513,0.067,0.21,0.346,7.2
1610612750,2024-25,5.0,0.588,0.524,0.073,0.202,0.239,-19.4
1610612740,2024-25,-9.4,0.552,0.455,0.08,0.167,0.325,-1.8
1610612752,2024-25,4.0,0.589,0.527,0.087,0.161,0.265,6.8
1610612760,2024-25,12.7,0.593,0.562,0.025,0.199,0.336,16.7
1610612753,2024-25,-0.2,0.55,0.497,0.067,0.165,0.254,-0.9
1610612755,2024-25,-6.3,0.563,0.459,0.062,0.169,0.342,-5.5
1610612756,2024-25,-3.0,0.595,0.495,0.011,0.142,0.283,-1.0
1610612757,2024-25,-2.7,0.555,0.473,0.097,0.137,0.12,-2.0
1610612758,2024-25,0.6,0.582,0.502,0.11,0.164,0.213,2.6
1610612759,2024-25,-2.8,0.575,0.493,0.054,0.168,0.3,2.6
1610612761,2024-25,-4.1,0.553,0.477,0.047,0.139,0.262,-2.7
1610612762,2024-25,-9.2,0.568,0.45,0.16,0.14,0.144,-2.5
1610612764,2024-25,-12.2,0.546,0.437,0.113,0.135,0.143,-4.3
1610612737,2025-26,2.2,0.584,0.51,0.0,0.181,0.14,31.3
1610612738,2025-26,8.3,0.583,0.536,0.015,0.159,0.29,10.5
1610612751,2025-26,-10.0,0.559,0.436,0.143,0.141,0.19,-4.3
1610612766,2025-26,4.9,0.589,0.516,0.03,0.134,0.306,9.1
1610612741,2025-26,-5.3,0.58,0.48,0.037,0.142,0.238,-5.0
1610612739,2025-26,4.1,0.595,0.522,0.021,0.152,0.311,7.2
1610612742,2025-26,-5.2,0.564,0.477,0.035,0.128,0.264,-5.2
1610612743,2025-26,5.2,0.616,0.529,0.089,0.213,0.289,10.8
1610612765,2025-26,8.4,0.583,0.552,0.0,0.256,0.158,80.0
1610612744,2025-26,-0.5,0.584,0.495,0.073,0.155,0.226,7.3
1610612745,2025-26,5.4,0.576,0.533,0.014,0.15,0.263,5.5
1610612754,2025-26,-7.8,0.568,0.465,0.022,0.15,0.227,-7.6
1610612746,2025-26,1.1,0.602,0.508,0.036,0.185,0.326,7.5
1610612747,2025-26,1.5,0.609,0.513,0.019,0.188,0.368,3.8
1610612763,2025-26,-6.0,0.57,0.47,0.035,0.162,0.332,-5.0
1610612748,2025-26,2.1,0.58,0.514,0.059,0.138,0.248,6.1
1610612749,2025-26,-6.1,0.589,0.464,0.098,0.213,0.358,4.4
1610612750,2025-26,3.1,0.592,0.516,0.067,0.151,0.131,6.2
1610612740,2025-26,-4.4,0.568,0.48,0.064,0.141,0.25,-1.9
1610612752,2025-26,6.4,0.59,0.533,0.101,0.154,0.251,7.0
1610612760,2025-26,11.1,0.599,0.562,0.017,0.207,0.323,16.3
1610612753,2025-26,0.6,0.576,0.505,0.034,0.138,0.274,-0.2
1610612755,2025-26,-0.1,0.572,0.497,0.063,0.163,0.336,5.8
1610612756,2025-26,1.4,0.568,0.495,0.021,0.142,0.307,3.9
1610612757,2025-26,-0.4,0.57,0.488,0.0,0.245,0.137,-2.7
1610612758,2025-26,-9.7,0.56,0.455,0.108,0.131,0.223,-13.9
1610612759,2025-26,8.4,0.595,0.542,0.071,0.209,0.316,17.0
1610612761,2025-26,2.9,0.581,0.522,0.055,0.139,0.226,4.6
1610612762,2025-26,-8.2,0.575,0.464,0.054,0.139,0.269,-1.5
1610612764,2025-26,-11.8,0.566,0.433,0.099,0.151,0.272,-4.6
